method,text_id,category,language,complexity,text_length,word_count,extracted_keywords,expected_keywords,accuracy,confidence_score,processing_time,memory_usage,keywords_count,success,metadata
hybrid_ensemble,social_media_vi,social_media,vi,high,148,27,"['Các thương', 'đang sử', 'nghệ xanh', '🌱 các', 'thương hiệu', 'hiệu đang', 'sử dụng', 'dụng vật', 'vật liệu', 'liệu tái', 'tái chế', 'chế và', 'và công', 'công nghệ', 'hướng thời', 'thời trang', 'trang bền', 'bền vững', 'vững tại', 'Xu hướng', 'Việt Nam', 'vietnam', 'tại Việt', 'Nam', 'Việt']","['xu hướng thời trang', 'bền vững', 'việt nam', 'thương hiệu', 'vật liệu tái chế', 'công nghệ xanh', 'thoitrangbenvung', 'ecofriendly']",0.48749999999999993,0.9533853782186105,0.015804767608642578,0.0,25,True,"{'method': 'hybrid_ensemble', 'methods_used': ['spacy_yake', 'rake_nltk', 'tf_idf'], 'consensus_score': np.float64(0.9533853782186105), 'total_methods': 3}"
spacy_yake,social_media_vi,social_media,vi,medium,111,14,"['Việt Nam', 'tại Việt', 'cho ngành', 'Marketing influencer', 'beautytech', 'digital', 'vietnam', 'influencer cho', 'ngành beauty', 'beauty tại', 'Nam', 'Marketing', 'Việt', 'influencer', 'beauty', 'cho', 'ngành', 'tại', 'cho ngành', 'Việt Nam', 'beautytech', 'vietnam', 'Marketing influencer cho']","['marketing influencer', 'ngành beauty', 'việt nam', 'beautytech', 'beauty', 'marketing', 'digital']",1.2,1.0,0.00851583480834961,0.0,23,True,"{'method': 'spacy_yake', 'entities_count': 4, 'noun_chunks_count': 1, 'yake_keywords_count': 18, 'total_candidates': 23, 'final_count': 23}"
rake_nltk,social_media_vi,social_media,vi,medium,111,14,"['marketing influencer', 'influencer cho', 'cho ngành', 'ngành beauty', 'beauty tại', 'tại việt', 'việt nam', 'marketing', 'influencer', 'beauty', 'vietnam', 'digital', 'beautytech']","['marketing influencer', 'ngành beauty', 'việt nam', 'beautytech', 'beauty', 'marketing', 'digital']",1.0,1.0,0.00019097328186035156,0.0,13,True,"{'total_phrases': 7, 'method': 'rake_nltk', 'language': 'en'}"
textrank,social_media_vi,social_media,vi,medium,111,14,[],"['marketing influencer', 'ngành beauty', 'việt nam', 'beautytech', 'beauty', 'marketing', 'digital']",0.0,0.0,0.0007448196411132812,0.0,0,False,"{'error': ""name 'Counter' is not defined"", 'method': 'textrank'}"
tf_idf,social_media_vi,social_media,vi,medium,111,14,"['beauty', 'influencer cho', 'nam beautytech', 'nam', 'marketing influencer cho', 'cho', 'beauty marketing', 'beauty marketing digital', 'beautytech influencer', 'beautytech influencer beauty', 'digital vietnam', 'influencer beauty', 'influencer beauty marketing', 'marketing digital', 'marketing digital vietnam', 'marketing influencer', 'nam beautytech influencer', 'nam beautytech influencer beauty marketing digital vietnam', 'beauty nam beautytech influencer beauty marketing digital vietnam', 'marketing influencer cho beauty']","['marketing influencer', 'ngành beauty', 'việt nam', 'beautytech', 'beauty', 'marketing', 'digital']",0.5,0.22330344108418015,0.0008666515350341797,0.03125,20,True,"{'method': 'tf_idf_enhanced', 'vocab_size': 22, 'corpus_size': 27, 'ngram_range': '(1,3)'}"
keybert,social_media_vi,social_media,vi,medium,111,14,"['việt nam', 'marketing digital', 'cho ngành', 'beautytech', 'influencer']","['marketing influencer', 'ngành beauty', 'việt nam', 'beautytech', 'beauty', 'marketing', 'digital']",0.4571428571428571,0.76826,0.06652498245239258,3.9375,5,True,"{'method': 'keybert_semantic', 'model': 'all-MiniLM-L6-v2', 'diversity': 0.5}"
hybrid_ensemble,social_media_vi,social_media,vi,medium,111,14,"['Việt Nam', 'cho ngành', 'tại Việt', 'Marketing influencer', 'influencer cho', 'ngành beauty', 'beauty tại', 'Marketing', 'beauty', 'influencer', 'beautytech', 'vietnam', 'digital', 'Nam', 'Việt', 'cho', 'ngành', 'tại', 'Marketing influencer cho', 'nam beautytech', 'beauty marketing', 'beauty marketing digital', 'beautytech influencer', 'beautytech influencer beauty', 'digital vietnam']","['marketing influencer', 'ngành beauty', 'việt nam', 'beautytech', 'beauty', 'marketing', 'digital']",1.0,0.9976668035937167,0.009802818298339844,0.359375,25,True,"{'method': 'hybrid_ensemble', 'methods_used': ['spacy_yake', 'rake_nltk', 'tf_idf'], 'consensus_score': np.float64(0.9976668035937167), 'total_methods': 3}"
spacy_yake,business_en,business,en,high,202,31,"['power technologies', 'sector shows', 'shows significant', 'significant growth', 'wind power', 'Market analysis', 'renewable energy', 'energy sector', 'market share', 'Market', 'technologies', 'energy reached', 'energy', 'solar', 'clean energy', 'solar leading', 'analysis', 'renewable', 'sector', 'shows', 'significant', 'growth', 'wind', 'power', '$500 billion', '45%', 'Investment', 'reached', 'billion', 'share']","['market analysis', 'renewable energy', 'solar power', 'wind power', 'investment', 'clean energy', 'market share']",0.8999999999999999,1.0,0.025743722915649414,0.078125,30,True,"{'method': 'spacy_yake', 'entities_count': 2, 'noun_chunks_count': 5, 'yake_keywords_count': 30, 'total_candidates': 37, 'final_count': 30}"
rake_nltk,business_en,business,en,high,202,31,"['market analysis', 'analysis of', 'of renewable', 'renewable energy', 'energy sector', 'sector shows', 'shows significant', 'significant growth', 'growth in', 'in solar', 'solar and', 'and wind', 'wind power', 'power technologies', 'investment in', 'in clean', 'clean energy', 'energy reached', 'with solar', 'solar leading']","['market analysis', 'renewable energy', 'solar power', 'wind power', 'investment', 'clean energy', 'market share']",0.6142857142857142,1.0,0.0002911090850830078,0.0,20,True,"{'total_phrases': 5, 'method': 'rake_nltk', 'language': 'en'}"
textrank,business_en,business,en,high,202,31,[],"['market analysis', 'renewable energy', 'solar power', 'wind power', 'investment', 'clean energy', 'market share']",0.0,0.0,0.001107931137084961,0.0,0,False,"{'error': ""name 'Counter' is not defined"", 'method': 'textrank'}"
tf_idf,business_en,business,en,high,202,31,"['billion in', 'market share', 'energy reached', 'leading at', 'with solar', 'market', 'billion', 'reached', 'analysis of', 'analysis of renewable', 'and wind', 'and wind power', 'clean energy', 'clean energy reached', 'energy sector', 'energy sector shows', 'growth in', 'growth in solar', 'in clean', 'in clean energy']","['market analysis', 'renewable energy', 'solar power', 'wind power', 'investment', 'clean energy', 'market share']",0.3714285714285714,0.07724615975361684,0.0008299350738525391,0.0,20,True,"{'method': 'tf_idf_enhanced', 'vocab_size': 55, 'corpus_size': 61, 'ngram_range': '(1,3)'}"
keybert,business_en,business,en,high,202,31,"['billion 2023', 'market analysis', 'clean energy', 'wind power', 'growth solar']","['market analysis', 'renewable energy', 'solar power', 'wind power', 'investment', 'clean energy', 'market share']",0.42857142857142855,0.67678,0.41105103492736816,21.0,5,True,"{'method': 'keybert_semantic', 'model': 'all-MiniLM-L6-v2', 'diversity': 0.5}"
hybrid_ensemble,business_en,business,en,high,202,31,"['power technologies', 'sector shows', 'shows significant', 'significant growth', 'wind power', 'Market analysis', 'energy sector', 'renewable energy', 'analysis of', 'growth in', 'and wind', 'of renewable', 'in solar', 'solar and', 'energy reached', 'clean energy', 'solar leading', 'in clean', 'investment in', 'with solar', 'market share', 'Market', 'technologies', 'energy', 'solar']","['market analysis', 'renewable energy', 'solar power', 'wind power', 'investment', 'clean energy', 'market share']",0.8,0.942060776655461,0.026255130767822266,0.53125,25,True,"{'method': 'hybrid_ensemble', 'methods_used': ['spacy_yake', 'rake_nltk', 'tf_idf'], 'consensus_score': np.float64(0.942060776655461), 'total_methods': 3}"
spacy_yake,business_vi,business,vi,high,178,38,"['Việt Nam', 'tại Việt', 'Nam cho', 'Phân tích', 'năng lượng', 'tích thị', 'thị trường', 'tái tạo', 'tạo tại', 'cho thấy', 'thấy tăng', 'tăng trưởng', 'trưởng mạnh', 'trong công', 'công nghệ', 'mặt trời', 'trường năng', 'lượng tái', 'nghệ năng', 'lượng mặt', 'Việt', 'Nam', 'năng', 'lượng', 'Phân', 'gió', 'vào năng', 'lượng sạch', 'sạch đạt', 'đồng năm']","['phân tích thị trường', 'năng lượng tái tạo', 'việt nam', 'công nghệ năng lượng', 'mặt trời', 'gió', 'đầu tư', 'năng lượng sạch']",0.5249999999999999,1.0,0.018743038177490234,0.046875,30,True,"{'method': 'spacy_yake', 'entities_count': 2, 'noun_chunks_count': 2, 'yake_keywords_count': 30, 'total_candidates': 34, 'final_count': 30}"
rake_nltk,business_vi,business,vi,high,178,38,"['phân tích', 'tích thị', 'thị trường', 'trường năng', 'năng lượng', 'lượng tái', 'tái tạo', 'tạo tại', 'tại việt', 'việt nam', 'nam cho', 'cho thấy', 'thấy tăng', 'tăng trưởng', 'trưởng mạnh', 'mạnh mẽ', 'mẽ trong', 'trong công', 'công nghệ', 'nghệ năng']","['phân tích thị trường', 'năng lượng tái tạo', 'việt nam', 'công nghệ năng lượng', 'mặt trời', 'gió', 'đầu tư', 'năng lượng sạch']",0.275,1.0,0.00036787986755371094,0.0,20,True,"{'total_phrases': 2, 'method': 'rake_nltk', 'language': 'en'}"
textrank,business_vi,business,vi,high,178,38,[],"['phân tích thị trường', 'năng lượng tái tạo', 'việt nam', 'công nghệ năng lượng', 'mặt trời', 'gió', 'đầu tư', 'năng lượng sạch']",0.0,0.0,0.00140380859375,0.0,0,False,"{'error': ""name 'Counter' is not defined"", 'method': 'textrank'}"
tf_idf,business_vi,business,vi,high,178,38,"['trong', 'nam cho', 'cho', 'nam', 'nam cho trong']","['phân tích thị trường', 'năng lượng tái tạo', 'việt nam', 'công nghệ năng lượng', 'mặt trời', 'gió', 'đầu tư', 'năng lượng sạch']",0.0375,0.09624732184573957,0.0008919239044189453,0.0,5,False,"{'method': 'tf_idf_enhanced', 'vocab_size': 5, 'corpus_size': 75, 'ngram_range': '(1,3)'}"
keybert,business_vi,business,vi,high,178,38,"['đạt 500', 'tăng trưởng', 'phân tích', 'vào năng', 'lượng mặt']","['phân tích thị trường', 'năng lượng tái tạo', 'việt nam', 'công nghệ năng lượng', 'mặt trời', 'gió', 'đầu tư', 'năng lượng sạch']",0.0375,0.7862999999999999,0.7051608562469482,19.96875,5,False,"{'method': 'keybert_semantic', 'model': 'all-MiniLM-L6-v2', 'diversity': 0.5}"
hybrid_ensemble,business_vi,business,vi,high,178,38,"['Nam cho', 'Việt Nam', 'tại Việt', 'Phân tích', 'năng lượng', 'tích thị', 'thị trường', 'tái tạo', 'tạo tại', 'cho thấy', 'thấy tăng', 'tăng trưởng', 'trưởng mạnh', 'trong công', 'công nghệ', 'trường năng', 'lượng tái', 'nghệ năng', 'mạnh mẽ', 'mẽ trong', 'mặt trời', 'lượng mặt', 'Nam', 'Việt', 'năng']","['phân tích thị trường', 'năng lượng tái tạo', 'việt nam', 'công nghệ năng lượng', 'mặt trời', 'gió', 'đầu tư', 'năng lượng sạch']",0.39999999999999997,0.9511300596628656,0.02014613151550293,0.40625,25,True,"{'method': 'hybrid_ensemble', 'methods_used': ['spacy_yake', 'rake_nltk', 'tf_idf'], 'consensus_score': np.float64(0.9511300596628656), 'total_methods': 3}"
spacy_yake,technical_en,technical,en,high,174,20,"['Machine learning', 'sentiment analysis', 'learning algorithms', 'natural language', 'language processing', 'processing applications', 'social media', 'media sentiment', 'Machine', 'analysis', 'learning', 'algorithms', 'natural', 'language', 'processing', 'applications', 'social', 'media', 'sentiment', 'attention mechanisms', 'Implementation', 'mechanisms', 'Machine learning algorithms', 'natural language processing applications', 'social media sentiment analysis', 'transformer models', 'attention mechanisms', 'transformer', 'models', 'attention']","['machine learning', 'algorithms', 'natural language processing', 'social media', 'sentiment analysis', 'transformer models', 'attention mechanisms']",1.0,1.0,0.024845123291015625,0.0,30,True,"{'method': 'spacy_yake', 'entities_count': 0, 'noun_chunks_count': 5, 'yake_keywords_count': 26, 'total_candidates': 31, 'final_count': 30}"
rake_nltk,technical_en,technical,en,high,174,20,"['machine learning', 'learning algorithms', 'algorithms for', 'for natural', 'natural language', 'language processing', 'processing applications', 'applications in', 'in social', 'social media', 'media sentiment', 'sentiment analysis', 'implementation using', 'using transformer', 'transformer models', 'models and', 'and attention', 'attention mechanisms']","['machine learning', 'algorithms', 'natural language processing', 'social media', 'sentiment analysis', 'transformer models', 'attention mechanisms']",0.8,1.0,0.0002808570861816406,0.0,18,True,"{'total_phrases': 2, 'method': 'rake_nltk', 'language': 'en'}"
textrank,technical_en,technical,en,high,174,20,[],"['machine learning', 'algorithms', 'natural language processing', 'social media', 'sentiment analysis', 'transformer models', 'attention mechanisms']",0.0,0.0,0.000904083251953125,0.0,0,False,"{'error': ""name 'Counter' is not defined"", 'method': 'textrank'}"
tf_idf,technical_en,technical,en,high,174,20,"['machine learning algorithms for natural language processing applications in social media sentiment analysis implementation using transformer models and attention mechanisms', 'algorithms for', 'algorithms for natural', 'analysis implementation', 'analysis implementation using', 'and attention', 'and attention mechanisms', 'applications in', 'applications in social', 'attention mechanisms', 'for natural', 'for natural language', 'implementation using', 'implementation using transformer', 'in social', 'in social media', 'language processing', 'language processing applications', 'learning algorithms', 'learning algorithms for']","['machine learning', 'algorithms', 'natural language processing', 'social media', 'sentiment analysis', 'transformer models', 'attention mechanisms']",0.39999999999999997,0.06769230769230769,0.0008111000061035156,0.0,20,True,"{'method': 'tf_idf_enhanced', 'vocab_size': 38, 'corpus_size': 39, 'ngram_range': '(1,3)'}"
keybert,technical_en,technical,en,high,174,20,"['implementation', 'algorithms natural', 'attention mechanisms', 'using transformer', 'media sentiment']","['machine learning', 'algorithms', 'natural language processing', 'social media', 'sentiment analysis', 'transformer models', 'attention mechanisms']",0.1857142857142857,0.58564,0.07219409942626953,4.6875,5,True,"{'method': 'keybert_semantic', 'model': 'all-MiniLM-L6-v2', 'diversity': 0.5}"
hybrid_ensemble,technical_en,technical,en,high,174,20,"['Machine learning', 'sentiment analysis', 'learning algorithms', 'language processing', 'natural language', 'processing applications', 'social media', 'media sentiment', 'algorithms for', 'for natural', 'applications in', 'in social', 'attention mechanisms', 'transformer models', 'implementation using', 'and attention', 'using transformer', 'models and', 'Machine', 'analysis', 'learning', 'algorithms', 'natural', 'language', 'processing']","['machine learning', 'algorithms', 'natural language processing', 'social media', 'sentiment analysis', 'transformer models', 'attention mechanisms']",0.8999999999999999,0.9364529914529915,0.025960206985473633,0.21875,25,True,"{'method': 'hybrid_ensemble', 'methods_used': ['spacy_yake', 'rake_nltk', 'tf_idf'], 'consensus_score': np.float64(0.9364529914529915), 'total_methods': 3}"
spacy_yake,technical_vi,technical,vi,high,164,30,"['Thuật toán', 'toán machine', 'machine learning', 'learning cho', 'cho ứng', 'ngôn ngữ', 'nhiên trong', 'trong phân', 'phân tích', 'tích cảm', 'cảm xúc', 'xúc mạng', 'ứng dụng', 'Thuật', 'hội', 'dụng', 'Triển khai', 'attention mechanisms', 'toán', 'machine', 'learning', 'cho', 'ứng', 'ngôn', 'ngữ', 'nhiên', 'trong', 'phân', 'tích', 'cảm']","['thuật toán machine learning', 'ứng dụng xử lý ngôn ngữ tự nhiên', 'phân tích cảm xúc', 'mạng xã hội', 'transformer models', 'attention mechanisms']",0.36666666666666664,1.0,0.015596866607666016,0.34375,30,True,"{'method': 'spacy_yake', 'entities_count': 3, 'noun_chunks_count': 3, 'yake_keywords_count': 30, 'total_candidates': 36, 'final_count': 30}"
rake_nltk,technical_vi,technical,vi,high,164,30,"['thuật toán', 'toán machine', 'machine learning', 'learning cho', 'cho ứng', 'ứng dụng', 'dụng xử', 'xử lý', 'lý ngôn', 'ngôn ngữ', 'ngữ tự', 'tự nhiên', 'nhiên trong', 'trong phân', 'phân tích', 'tích cảm', 'cảm xúc', 'xúc mạng', 'mạng xã', 'xã hội']","['thuật toán machine learning', 'ứng dụng xử lý ngôn ngữ tự nhiên', 'phân tích cảm xúc', 'mạng xã hội', 'transformer models', 'attention mechanisms']",0.19999999999999998,1.0,0.00030994415283203125,0.0,20,True,"{'total_phrases': 2, 'method': 'rake_nltk', 'language': 'en'}"
textrank,technical_vi,technical,vi,high,164,30,[],"['thuật toán machine learning', 'ứng dụng xử lý ngôn ngữ tự nhiên', 'phân tích cảm xúc', 'mạng xã hội', 'transformer models', 'attention mechanisms']",0.0,0.0,0.0012981891632080078,0.0,0,False,"{'error': ""name 'Counter' is not defined"", 'method': 'textrank'}"
tf_idf,technical_vi,technical,vi,high,164,30,"['khai', 'trong', 'transformer models', 'attention mechanisms', 'learning cho', 'machine learning', 'cho', 'machine', 'transformer', 'machine learning cho', 'attention', 'models', 'khai transformer models', 'khai transformer models attention mechanisms', 'machine learning cho trong', 'machine learning cho trong khai', 'transformer models attention mechanisms', 'trong khai', 'trong khai transformer models', 'models attention']","['thuật toán machine learning', 'ứng dụng xử lý ngôn ngữ tự nhiên', 'phân tích cảm xúc', 'mạng xã hội', 'transformer models', 'attention mechanisms']",0.3833333333333333,0.1111924408357931,0.0009770393371582031,0.0,20,True,"{'method': 'tf_idf_enhanced', 'vocab_size': 20, 'corpus_size': 59, 'ngram_range': '(1,3)'}"
keybert,technical_vi,technical,vi,high,164,30,"['ứng dụng', 'triển khai', 'machine learning', 'transformer models', 'attention mechanisms']","['thuật toán machine learning', 'ứng dụng xử lý ngôn ngữ tự nhiên', 'phân tích cảm xúc', 'mạng xã hội', 'transformer models', 'attention mechanisms']",0.4333333333333333,0.69686,0.12916111946105957,11.3125,5,True,"{'method': 'keybert_semantic', 'model': 'all-MiniLM-L6-v2', 'diversity': 0.5}"
